Titre,Labels,Content
Reconnaître l’alerte et les moyens de diffusion,"alerte, sirène, signal national d’alerte, mise à l’abri, radio, panneaux lumineux","En cas d’événement grave, l’alerte est de la responsabilité de l’État et des maires. Elle peut être diffusée par différents moyens : sirènes, véhicules sonorisés, panneaux lumineux communaux, radio, télévision ou autres moyens. En cas d’événement nécessitant une mise à l’abri, les sirènes émettent le signal national d’alerte, testé chaque premier mercredi du mois à midi, en trois séquences d’une minute. Une fois le danger écarté, le signal de fin d’alerte correspond à un son continu de 30 secondes."
Pack sécurité à préparer chez soi,"kit d'urgence, pack sécurité, radio à piles, lampe de poche, confinement, médicaments","Un pack sécurité doit être préparé à l’avance à domicile pour pouvoir réagir rapidement en cas d’événement majeur. Il comprend notamment : une radio à piles, une lampe de poche, du matériel de confinement comme du ruban adhésif et des tissus pour colmater les ouvertures, de la nourriture et de l’eau, des couvertures, des vêtements, les papiers personnels, ainsi que les médicaments et traitements quotidiens."
Consignes générales pendant l’alerte,"consignes, mise à l’abri, écouter la radio, confinement, sécurité civile","Face à une alerte, il faut se mettre à l’abri, fermer les ouvertures, écouter la radio et suivre les consignes officielles. Tous les renseignements sur l’évolution de la situation sont fournis par la radio, en particulier France Bleu Loire Océan sur 101,8 FM. La sécurité civile est l’affaire de tous : chacun doit être acteur de sa propre sécurité et de celle des autres."
Ce qu’il faut faire en cas d’inondation,"inondation, consignes, monter à l’étage, fermer gaz, fermer électricité, mettre au sec","En cas d’inondation, il faut déplacer les voitures stationnées sur les berges, monter ou surélever les meubles et monter dans les étages sans utiliser l’ascenseur. Il faut également fermer portes, fenêtres et aérations, couper le gaz et l’électricité, et mettre les produits toxiques à l’abri de l’eau. Il est essentiel de rester informé en écoutant la radio et de suivre les consignes des autorités."
Ce qu’il faut faire en cas d’accident industriel ou de transport de matières dangereuses,"accident industriel, matières dangereuses, nuage toxique, confinement, éloignement, radio","En cas d’accident industriel ou de transport de matières dangereuses, il faut se mettre à l’abri dans le bâtiment le plus proche, de préférence dans une pièce sans fenêtre, afin de se protéger d’un éventuel nuage toxique. En voiture, il faut s’éloigner du lieu de l’accident, s’arrêter, puis rejoindre à pied le bâtiment le plus proche. Une fois abrité, il faut se confiner, fermer les volets et ouvertures, calfeutrer les aérations, couper la ventilation et la climatisation, éviter les fenêtres et écouter la radio pour suivre l’évolution de la situation."
Ce qu’il ne faut pas faire pendant une alerte,"interdictions, ne pas téléphoner, ne pas aller chercher les enfants, pas de flamme, secours","Pendant une alerte, il ne faut pas aller chercher ses enfants à l’école, car les enseignants les mettent en sécurité dans le cadre de leur plan particulier de mise en sûreté. Il ne faut pas téléphoner inutilement afin de laisser les lignes disponibles pour les secours. Il faut aussi éviter toute flamme ou étincelle, car en cas d’émanation de produit toxique ou inflammable, cela pourrait provoquer une explosion. Il ne faut pas non plus se rendre sur les lieux de l’accident."
Risques météorologiques et vigilance météo,"météo, vigilance, vent violent, orages, canicule, grand froid, neige, verglas","L’agglomération est exposée à plusieurs risques météorologiques : vents violents, fortes précipitations, orages, canicule, grand froid, neige et verglas. Météo-France diffuse une carte de vigilance pour les 24 heures à venir avec quatre niveaux : vert, jaune, orange et rouge. Dès le niveau orange, les pouvoirs publics s’organisent pour réagir et la population doit adapter ses activités et ses déplacements. Les cartes de vigilance sont diffusées sur le site de Météo-France et relayées par les radios, télévisions et la presse."
Bons réflexes face à un épisode météorologique dangereux,"prudence, tempête, déplacements, mise à l'abri, radio, vigilance orange","En cas d’épisode météorologique dangereux, il convient de jouer la prudence, de s’informer régulièrement et d’éviter les déplacements non indispensables. Dès le niveau orange, il faut s’assurer que ses activités et trajets peuvent être effectués sans complication ni danger. Il ne faut pas risquer sa vie en partant sous la tempête ou en restant bloqué sur une route enneigée. Les consignes générales restent : se mettre à l’abri et écouter la radio."
Risque inondation sur l’agglomération,"inondation, Loire, Erdre, Sèvre nantaise, crue, zones inondables, vigicrues","La Loire, l’Erdre, la Sèvre nantaise et de nombreux ruisseaux traversent l’agglomération et peuvent déborder. En période de crue, notamment d’octobre à avril, des zones proches des cours d’eau peuvent être inondées : espaces verts, marais, allées piétonnes, parkings, mais aussi parfois des zones d’activités ou d’habitat. Contrairement à la Loire, certains cours d’eau comme la Sèvre nantaise et d’autres ruisseaux peuvent monter très vite, notamment lors de pluies d’orage. La cartographie précise des zones inondables est consultable en mairie et en préfecture."
Prévision des crues et mémoire des inondations passées,"prévision des crues, Vigicrues, repères de crues, PHEC, mémoire du risque","Le service de prévision des crues, basé à Angers, surveille le niveau des principaux cours d’eau de l’agglomération. Ses informations permettent d’organiser la protection des zones exposées et d’informer la population, par exemple en limitant la circulation ou en installant des dispositifs temporaires de protection. Les habitants peuvent consulter le site Vigicrues. Des repères de crues sur certaines constructions rappellent le niveau des plus hautes eaux connues, ce qui contribue à conserver la mémoire des inondations passées."
